DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
07/06/2013;07/06/2013;HÔTEL;3 étoiles;-;-;AU BON COIN;5 rue de la cité;64200;BIARRITZ;559240168;caroline.aguerre@sfr.fr;http://www.auboncoin-biarritz.com/;-;37;17;-;-;-
07/06/2013;07/06/2013;HÔTEL;2 étoiles;-;-;HÔTEL SOPHIE;5 place Albert Ier;61220;BRIOUZE;233628282;info@hotelsophienormandie.com;www.hotelsophienormandie.com;-;16;7;-;-;-
07/06/2013;07/06/2013;HÔTEL;2 étoiles;-;-;LE CLOS JOLI;6 Boulevard Labbé;61140;BAGNOLES-DE-L'ORNE;233378633;leclosjoli@club-internet.fr;http://hotelbagnoles.com;-;27;13;-;-;-
07/06/2013;07/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL RESTAURANT BEAU RIVAGE;route de saint-baudelle;53100;MOULAY;243004913;fbeaurivage@9online.fr;www.restaurantbeaurivage.com;-;20;8;-;-;-
07/06/2013;07/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL ALTOS;37 Boulevard du Luxembourg;50300;AVRANCHES;233586664;hotelaltos@orange.fr;www.hotel-normandie-mont-saint-michel.com;-;69;29;-;-;-
07/06/2013;07/06/2013;HÔTEL;3 étoiles;-;-;SALINE ROYALE;Grande Rue;25610;ARC-ET-SENANS;381544517;reception@salineroyale.com;www.salineroyale.com;-;58;31;-;-;-
07/06/2013;07/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL LE MAS DES AMANDIERS;112 impasse des amandiers;13690;GRAVESON;490958176;contact@hotel-des-amandiers.com;http://www.hotel-des-amandiers.com;-;60;28;-;-;-
07/06/2013;07/06/2013;HÔTEL;3 étoiles;-;-;HÔTEL MAS  DE L'ESPAÏRE;Route d'Alès, Bois de Païolive;7140;LES VANS;475949501;espaire@wanadoo.fr;hotel-espaire.fr;-;60;29;-;-;-
06/06/2013;06/06/2013;HÔTEL;3 étoiles;-;-;GRAND HÔTEL;1 PARC THERMAL;71140;BOURBON-LANCY;385893879;bmonssus@stbl.fr;http://www.grand-hotel-thermal.fr;-;60;26;-;-;-
06/06/2013;06/06/2013;HÔTEL;2 étoiles;-;-;CASA COSY;2 rue du Croisic;44510;LE POULIGUEN;240423065;casacosy@orange.fr;www.casacosy.fr;-;22;8;-;-;-
