REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA66000040	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Nyer	Languedoc-Roussillon	66	Nyer	66123	Ancienne église Saint-Just et Saint-Pasteur d'En		propriété de la commune		L' ancienne église en totalité (cad. B 42, lieudit En) : inscription par arrêté du 28 novembre 2012	2012/11/28 : inscrit MH			
PA66000039	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Perpignan	Languedoc-Roussillon	66	Perpignan	66136	Tour de Château-Roussillon	Tour-de-Château-Roussillon (chemin de la)	propriété de la commune		La tour en totalité (cad. DV 88, lieudit Castell Rosello) : inscription par arrêté du 9 mai 2012	2012/05/09 : inscrit MH		13e siècle	
PA66000038	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Perpignan	Languedoc-Roussillon	66	Perpignan	66136	Chapelle de Château-Roussillon, ancienne église Sainte-Marie de Château-Roussillon	Chapelle (place de la)	propriété privée		La chapelle en totalité, avec son porche (cad. DV 107 (chapelle), 108 (porche inclus dans une maison), lieudit Castell Rosello) : inscription par arrêté du 9 mai 2012	2012/05/09 : inscrit MH		11e siècle ; 12e siècle	
PA66000037	recensement immeubles MH	Languedoc-Roussillon ; Pyrénées-Orientales ; Elne	Languedoc-Roussillon	66	Elne	66065	Maternité Suisse d'Elne, ancien château d'En Bardou	Montescot (route de)	propriété de la commune		La Maternité Suisse en totalité (cad. BK 7) : inscription par arrêté du 9 mai 2012	2012/05/09 : inscrit MH		limite 19e siècle 20e siècle ; 2e quart 20e siècle	
PA48000017	recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Mende	Languedoc-Roussillon	48	Mende	48095	Maison, ancien hôtel de Montesquieu	Ancienne-Maison-Consulaire (rue de l') 8	propriété de la commune		La salle voûtée peinte au premier étage, en totalité (cad. AS 440) : inscription par arrêté du 22 mai 2012	2012/05/22 : inscrit MH		1ère moitié 16e siècle ; 4e quart 17e siècle	
PA48000016	recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Molezon	Languedoc-Roussillon	48	Molezon	48098	Ancienne église Notre-Dame de Molezon		propriété privée	affecté à la commune	L' ancienne église en totalité (cad. B 304) : inscription par arrêté du 26 mars 2012	2012/03/26 : inscrit MH		12e siècle ; limite 17e siècle 18e siècle	
PA48000015	recensement immeubles MH	Languedoc-Roussillon ; Lozère ; Meyrueis	Languedoc-Roussillon	48	Meyrueis	48096	Château de Roquedols		propriété de la commune		Le château en totalité (cad. G 734) : inscription par arrêté du 15 février 2012	2012/02/15 : inscrit MH		2e quart 16e siècle	
PA34000093	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Pignan	Languedoc-Roussillon	34	Pignan	34202	Château des Bashy du Cayla, dit du Comte de Turenne (actuel hôtel de ville)		propriété de la commune		Le château et son parc, en totalité (cad. AA 266 ; AH 1 à 3) : inscription par arrêté du 25 avril 2012, modifié par arrêté du 26 décembre 2012	2012/04/25 : inscrit MH ; 2012/12/26 : inscrit MH	Daviler (architecte)	17e siècle	
PA34000092	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montpellier	Languedoc-Roussillon	34	Montpellier	34172	Hôtel de Grave, actuellement Direction régionale des Affaires culturelles de Languedoc-Roussillon	Salle-l'Évêque (rue) 5	propriété de l'Etat	affecté au ministère chargé de la culture	L' ensemble formé par l' ancien hôtel de Sartre, puis de Vignes, puis d' Espous, dit " Hôtel de Grave ", en totalité, y compris ses pavillons d' entrée, son parc, sa cour et l' immeuble dit " hôtel de Villarmois " (à l' exclusion de la maison Poujol donnant sur la rue Bocaud), ainsi que les façades, les toitures et l' escalier de l' immeuble dit " Hôtel de Noailles " (cad. HO 106, 115, 145) : inscription par arrêté du 21 novembre 2012	2012/11/21 : inscrit MH	Daviler Charles (architecte) ; Levesville Simon (architecte)	17e siècle ; 4e quart 19e siècle	
PA34000091	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Mudaison	Languedoc-Roussillon	34	Mudaison	34176	Ancienne maison des Ursulines (ou presbytère)	Halle (rue de la) 2	propriété de la commune		L' ancienne maison (cad. AA 143) : inscription par arrêté du 30 janvier 2012	2012/01/30 : inscrit MH		17e siècle	
PA34000089	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Puisserguier	Languedoc-Roussillon	34	Puisserguier	34225	Ancien logis dit "café du marché"	Église (place de l')	propriété de la commune		L' ancien logis en totalité, y compris son plafond peint (cad. K 404) : inscription par arrêté du 13 février 2012	2012/02/13 : inscrit MH		4e quart 15e siècle	
PA34000088	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Pézenas	Languedoc-Roussillon	34	Pézenas	34199	Moulin de Conas		propriété d'une société privée		Le moulin en totalité (cad. AP 227) : inscription par arrêté du 25 avril 2012	2012/04/25 : inscrit MH		13e siècle ; 14e siècle ; 15e siècle	
PA34000087	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Montels	Languedoc-Roussillon	34	Montels	34167	Ancien château des archevêques de Narbonne		propriété de la commune ; propriété privée		Les vestiges archéologiques de l' ancien château des archevêques (cad. A 395, 538 à 542, 557 à 561) : inscription par arrêté du 22 février 2012	2012/02/22 : inscrit MH		milieu 12e siècle ; 13e siècle	
PA34000086	recensement immeubles MH	Languedoc-Roussillon ; Hérault ; Cazedarnes	Languedoc-Roussillon	34	Cazedarnes	34065	Eglise paroissiale Saint-Amand		propriété de la commune		L' église paroissiale en totalité, y compris son décor mural peint (cad. AB 129 1) :inscription par arrêté du 25 avril 2012	2012/04/25 : inscrit MH	Greschny Nicolas (peintre)	19e siècle ; 3e quart 20e siècle	
PA30000100	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Pont-Saint-Esprit	Languedoc-Roussillon	30	Pont-Saint-Esprit	30202	Eglise paroissiale Saint-Saturnin		propriété de la commune		L' église paroissiale en totalité (cad. BH 247) : inscription par arrêté du 11 décembre 2012	2012/12/11 : inscrit MH	Lescuyer (maître d'oeuvre)	15e siècle	
PA30000099	recensement immeubles MH	Languedoc-Roussillon ; Gard ; L'Estréchure	Languedoc-Roussillon	30	Estréchure (L')	30108	Ancienne église Saint-Martin-de-Corconac		propriété d'une personne privée		L' ancienne église en totalité (cad. C 582) : inscription par arrêté du 28 novembre 2012	2012/11/28 : inscrit MH		12e siècle ; 14e siècle	
PA30000098	recensement immeubles MH	Languedoc-Roussillon ; Gard ; Nîmes	Languedoc-Roussillon	30	Nîmes	30189	Immeuble dit Hôtel Bézard	Feuchères (avenue) 2 ; Bruxelles (boulevard de) 1	propriété d'une société privée		Les façades et toitures, ainsi que les deux vestibules avec les deux cages d' escalier et, en totalité, le premier étage de l' hôtel particulier de l' immeuble (cad. EZ 530) : inscription par arrêté du 19 avril 2012	2012/04/19 : inscrit MH	Bourdon Gaston (architecte)	2e quart 19e siècle	
